MemberInternalID,BranchID,Recency,Frequency,Monetary,RScore,FScore,MScore,RFMScore,RCategory,FCategory,MCategory,Segmentation,AOV,Branch_Name,Age,isCheating
18,10,2410,1,25000.0,33,0.0,0.3370862266567788,11.11236207555226,Low,Low,Low,Lost,25000.0,Bukit Darmo Golf,50.0,0
19,3,17,8,130000.0,100,10.0,1.7528483786152498,37.25094945953842,High,Medium,Low,Promising,16250.0,Graha Family,37.0,0
20,5,2410,2,100000.0,33,1.4285714285714286,1.3483449066271151,11.925638778399517,Low,Medium,Low,Hibernating,50000.0,Klampis,46.0,0
21,10,2410,2,85000.0,33,1.4285714285714286,1.146093170633048,11.85822153306816,Low,Medium,Low,Hibernating,42500.0,Bukit Darmo Golf,39.0,1
21,10,2071,6,427500.0,33,7.142857142857142,5.7641744758309175,15.30234387289602,Low,Medium,Medium,Hibernating,71250.0,Bukit Darmo Golf,39.0,0
22,4,393,29,2329500.0,33,40.0,31.40969459987865,34.80323153329288,Low,High,High,Can't Lose Them,80327.58620689655,Sukomanunggal,46.0,0
23,3,26,41,4297500.0,100,57.14285714285714,57.94512236230028,71.69599316838581,High,High,High,Champions,104817.0731707317,Graha Family,37.0,0
24,3,1627,7,495000.0,33,8.571428571428571,6.674307287804221,16.081911953077597,Low,Medium,Medium,Hibernating,70714.28571428571,Graha Family,36.0,0
25,3,137,29,2732500.0,67,40.0,36.84352457358592,47.94784152452864,Medium,High,High,At Risk,94224.13793103448,Graha Family,29.0,0
26,4,194,31,2000000.0,33,42.85714285714285,26.966898132542305,34.274680329895055,Low,High,High,Can't Lose Them,64516.12903225807,Sukomanunggal,44.0,0
27,3,1633,1,100000.0,33,0.0,1.3483449066271151,11.449448302209037,Low,Low,Low,Lost,100000.0,Graha Family,32.0,1
27,3,2,24,2365000.0,100,32.857142857142854,31.888357041731275,54.91516663295804,High,High,High,Champions,98541.66666666669,Graha Family,32.0,0
27,3,1927,17,1342500.0,33,22.857142857142858,18.10153037146902,24.65289107620396,Low,High,High,Can't Lose Them,78970.58823529411,Graha Family,32.0,1
